corp,size,num_fund,num_old_fund_rate,old_new_size_rate,mon_profit,three_mon_profit,six_mon_profit,year_profit
万家基金,1450.7399999999996,163,0.7730061349693251,0.8225181631443265,-0.7463298510451561,0.9154814160958009,0.8533373709674694,4.441386742676832
上投摩根基金,1035.29,113,0.7787610619469026,0.800587275063026,-2.1568710771314623,-0.013442607877998893,-2.7625531313790703,1.3162262197060992
上海光大证券资产管理,150.10999999999999,35,0.7428571428571429,0.7971487575777765,-3.9898613281203765,-3.459593237107091,-7.2760574780832865,-6.35522436377552
上海国泰君安资管,229.07999999999996,20,0.35,0.6981840405098657,-1.2834269326812724,0.03673876529779549,-2.3446890773031246,-1.9106684952611999
上海海通证券资产管理,21.060000000000002,26,0.19230769230769232,0.8698955365622032,-0.3123591581167276,0.20166756350647658,-1.5582222231209866,-2.3476755014288924
上银基金,635.4800000000001,48,0.5625,0.8531975829294389,-0.7018729438496457,0.2973878507051302,0.0919830098366452,0.8979625033131993
东兴基金管理,42.11000000000001,28,0.6785714285714286,0.7283305628116837,-1.2479618226396147,0.7945534160022785,0.12247095566372898,-0.83232510535894
东吴基金,171.56000000000006,49,0.5918367346938775,0.44229424108183707,-2.3767864295268555,0.7373973875273767,-1.1229066139371846,1.0384293619402183
东吴证券,2.2800000000000002,8,0.0,0.0,0.0,0.0,0.0,0.0
东方基金,611.7199999999999,86,0.8372093023255814,0.9209605701955146,-1.2065861917414795,0.44304804658263375,0.07361949045300535,2.522670200895218
东方红资产管理,2460.130000000001,116,0.6551724137931034,0.8229321214732551,-0.633205806939101,0.5737762315290491,-1.3396760423541874,-1.6470286068806403
东方阿尔法基金,131.75,10,0.6,0.7102087286527514,-2.500375510130436,0.4854643399662401,0.9443195255771908,6.51731380884043
东海基金,91.24000000000001,15,0.8,0.1696624287593161,-1.4174954285215455,1.2130427779414072,-2.5336841814432556,-2.0848582102974618
东海证券,2.6900000000000004,13,0.0,0.0,0.0,0.0,0.0,0.0
东莞证券,2.04,1,0.0,0.0,0.0,0.0,0.0,0.0
东证融汇证券资产管理,0.0,6,0.0,,0.0,0.0,0.0,0.0
东财基金,50.91999999999998,43,0.37209302325581395,0.42890809112333095,-1.5997968960033926,0.325260165094099,-2.4951705881822406,0.7914272630164143
中信保诚基金,1299.2199999999998,126,0.8253968253968254,0.8737627191699633,-0.7479459000998895,0.6356839888268707,0.7213098674000409,4.8134174924170035
中信建投基金,270.62000000000006,60,0.65,0.7083733648658634,-1.7327245622347196,0.12823171480990328,-0.8755007894445622,4.910256178137947
中信建投证券,28.23,2,1.0,1.0,-6.177061370650415,-1.5381945277285878,-14.756121363574124,-14.66008970051044
中信证券,463.40999999999985,35,0.5428571428571428,0.9116333268595846,-2.8743975509193014,-1.0956140780078927,-5.169846938414683,-5.720196139082622
中加基金,1005.1800000000001,98,0.7857142857142857,0.7936290017708272,-0.3550009276425778,0.6564433770555809,0.3187509486083237,2.784969106954533
中庚基金,249.23,5,0.6,0.5707579344380693,2.389454542682754,0.8488832521107421,11.004784886814726,31.857452527868464
中欧基金,4225.900000000002,214,0.7336448598130841,0.8875647791003097,-1.5862775831257148,1.0650047692083708,-1.4576652314945473,1.6233608391941556
中泰证券(上海)资管,166.60000000000002,24,0.5,0.7674669867947178,0.2815709431968856,0.7843349450506542,1.8689641924952107,5.138139400353523
中海基金,128.01,37,0.8918918918918919,0.9560971799078197,-4.090716465389503,-1.4103386828287414,-3.278213654368272,1.1429066418658962
中科沃土基金,29.93,11,1.0,1.0,-0.6956773542283252,0.6432767842892887,0.6110684603412931,9.371204168303409
中航基金,264.85,22,0.6363636363636364,0.7386445157636399,-0.433604506707919,0.33985445243024925,-0.37058523557921547,3.232121043356543
中融基金,824.1299999999998,125,0.72,0.6984456335772271,-0.8675490996981045,1.2423621141000627,0.9569746204974305,4.034362557435652
中邮基金,557.65,73,0.8082191780821918,0.6701694611315341,-1.2143443298390473,1.3138751454685051,1.6241035500946612,4.937455920780148
中金公司,47.56,12,1.0,1.0,-1.4483646860644983,0.8952481589068356,-0.2040763587600305,2.8180243448217674
中金基金,465.7300000000001,59,0.8135593220338984,0.7251841195542482,-0.9468181140762891,-0.060188345549702385,-1.4879872316524514,-0.9231117195341787
中银基金,2843.5500000000015,213,0.8262910798122066,0.9382004888255872,-1.072178297053967,-0.11012240102970947,-0.985437259669988,0.03363352857496953
中银证券,1176.9599999999998,64,0.625,0.918518896139206,-0.30216449724511285,0.8447006756948104,0.6092696017631282,3.419571486174674
九泰基金,62.63,55,0.6909090909090909,0.7697589014849114,-2.073117758367686,-0.1052273107913977,-0.5452424303838342,4.131566869161416
交银施罗德基金,3526.7400000000007,159,0.7358490566037735,0.8341811417910026,-1.1062623175615611,1.2235783848833248,0.222306345504191,2.165891262426562
人保资产,22.270000000000003,33,0.9393939393939394,0.9012123933542884,-1.5145088985852577,-0.583243956257613,-1.7285497762544495,0.6523940203735309
信达澳银基金,634.6299999999999,59,0.5932203389830508,0.5616343381182738,-1.8931073375880203,0.12783923180318976,0.14116750992652446,5.673029978671071
信达证券,2.23,5,0.0,0.0,0.0,0.0,0.0,0.0
先锋基金,41.230000000000004,14,1.0,1.0,-0.49737065439891287,1.0002575190536924,-3.052063353185343,5.044946924377331
光大保德信基金管理,731.0699999999996,97,0.8041237113402062,0.8453499664874775,-1.2669198152402958,1.6537435033054675,0.1457964097300445,2.094780988058964
兴业基金,1530.75,108,0.7777777777777778,0.8388175730850889,-0.5518455965580608,0.8598327707223142,0.1628646185406431,1.231403383530838
